Vin,Vout_FF,Vout_FS,Vout_SF,Vout_SS,Vout_TT(Reference_corner)
0.285,0.199359567,0.199438203,0.194837328,0.189640552,0.198164837
0.286,0.20009904,0.200176524,0.195543267,0.190340645,0.198892582
0.287,0.200838911,0.20091525,0.196249686,0.191041244,0.199620758
0.288,0.201579176,0.201654378,0.196956584,0.191742349,0.200349361
0.289,0.202319834,0.202393906,0.197663959,0.192443956,0.201078389
0.29,0.203060883,0.203133831,0.198371807,0.193146064,0.201807841
0.291,0.203802319,0.203874152,0.199080127,0.193848669,0.202537713
0.292,0.204544141,0.204614866,0.199788916,0.194551769,0.203268004
0.293,0.205286347,0.205355971,0.200498172,0.195255363,0.203998712
0.294,0.206028934,0.206097465,0.201207893,0.195959447,0.204729834
0.295,0.206771901,0.206839345,0.201918077,0.19666402,0.205461368
0.296,0.207515245,0.207581609,0.202628722,0.197369079,0.206193311
0.297,0.208258964,0.208324256,0.203339825,0.198074622,0.206925663
0.298,0.209003055,0.209067282,0.204051384,0.198780646,0.20765842
0.299,0.209747518,0.209810687,0.204763397,0.199487149,0.208391581
0.3,0.210492349,0.210554467,0.205475862,0.200194129,0.209125143
