R_gds_inst (Vctrl=0) X,R_gds_inst (Vctrl=0) Y,R_gds_inst (Vctrl=0.1) X,R_gds_inst (Vctrl=0.1) Y,R_gds_inst (Vctrl=0.2) X,R_gds_inst (Vctrl=0.2) Y,R_gds_inst (Vctrl=0.3) X,R_gds_inst (Vctrl=0.3) Y,R_gds_inst (Vctrl=0.4) X,R_gds_inst (Vctrl=0.4) Y,R_gds_inst (Vctrl=0.5) X,R_gds_inst (Vctrl=0.5) Y,R_gds_inst (Vctrl=0.05) X,R_gds_inst (Vctrl=0.05) Y,R_gds_inst (Vctrl=0.15) X,R_gds_inst (Vctrl=0.15) Y,R_gds_inst (Vctrl=0.25) X,R_gds_inst (Vctrl=0.25) Y,R_gds_inst (Vctrl=0.35) X,R_gds_inst (Vctrl=0.35) Y,R_gds_inst (Vctrl=0.45) X,R_gds_inst (Vctrl=0.45) Y
-0.155,183562.155,-0.155,163222.7662,-0.155,139126.3385,-0.155,110439.1767,-0.155,76606.2748,-0.155,37985.70781,-0.155,173810.9485,-0.155,151696.8949,-0.155,125404.7056,-0.155,94171.57115,-0.155,57831.06143
-0.154,183620.6281,-0.154,163276.3328,-0.154,139175.9014,-0.154,110487.6151,-0.154,76661.71684,-0.154,38071.75468,-0.154,173866.9209,-0.154,151748.265,-0.154,125453.1375,-0.154,94221.9142,-0.154,57897.0913
-0.153,183676.4409,-0.153,163327.5295,-0.153,139223.4348,-0.153,110534.4205,-0.153,76715.97116,-0.153,38157.061,-0.153,173920.3725,-0.153,151797.4285,-0.153,125499.731,-0.153,94270.84263,-0.153,57962.16053
-0.152,183729.5977,-0.152,163376.3598,-0.152,139268.9411,-0.152,110579.5939,-0.152,76769.03606,-0.152,38241.62046,-0.152,173971.3072,-0.152,151844.3885,-0.152,125544.4879,-0.152,94318.35626,-0.152,58026.2654
-0.151,183780.1039,-0.151,163422.8286,-0.151,139312.424,-0.151,110623.1374,-0.151,76820.91054,-0.151,38325.42707,-0.151,174019.7302,-0.151,151889.1494,-0.151,125587.4112,-0.151,94364.45575,-0.151,58089.40274
-0.15,183827.9671,-0.15,163466.9422,-0.15,139353.8886,-0.15,110665.0538,-0.15,76871.59433,-0.15,38408.47513,-0.15,174065.6486,-0.15,151931.717,-0.15,125628.5049,-0.15,94409.14265,-0.15,58151.56987
-0.149,183873.1962,-0.149,163508.7086,-0.149,139393.3411,-0.149,110705.3471,-0.149,76921.08779,-0.149,38490.75923,-0.149,174109.0709,-0.149,151972.0984,-0.149,125667.7743,-0.149,94452.41933,-0.149,58212.76463
-0.148,183915.8021,-0.148,163548.1371,-0.148,139430.789,-0.148,110744.0222,-0.148,76969.39199,-0.148,38572.2743,-0.148,174150.007,-0.148,152010.3022,-0.148,125705.2259,-0.148,94494.28902,-0.148,58272.98535
-0.147,183955.7969,-0.147,163585.2386,-0.147,139466.2412,-0.147,110781.0852,-0.147,77016.50869,-0.147,38653.01556,-0.147,174188.4687,-0.147,152046.3381,-0.147,125740.8669,-0.147,94534.75578,-0.147,58332.23091
-0.146,183993.1948,-0.146,163620.0252,-0.146,139499.7076,-0.146,110816.5428,-0.146,77062.4403,-0.146,38732.97856,-0.146,174224.469,-0.146,152080.2174,-0.146,125774.706,-0.146,94573.82448,-0.146,58390.50064
-0.145,184028.0111,-0.145,163652.5105,-0.145,139531.1993,-0.145,110850.403,-0.145,77107.18991,-0.145,38812.15917,-0.145,174258.0226,-0.145,152111.9525,-0.145,125806.7529,-0.145,94611.50082,-0.145,58447.79443
-0.144,184060.2629,-0.144,163682.7096,-0.144,139560.7288,-0.144,110882.6745,-0.144,77150.76125,-0.144,38890.55357,-0.144,174289.1456,-0.144,152141.5573,-0.144,125837.0182,-0.144,94647.79131,-0.144,58504.11261
-0.143,184089.9689,-0.143,163710.6387,-0.143,139588.3095,-0.143,110913.367,-0.143,77193.1587,-0.143,38968.15826,-0.143,174317.8555,-0.143,152169.0467,-0.143,125865.5137,-0.143,94682.70323,-0.143,58559.45606
-0.142,184117.149,-0.142,163736.3157,-0.142,139613.956,-0.142,110942.4912,-0.142,77234.3873,-0.142,39044.97007,-0.142,174344.1712,-0.142,152194.4369,-0.142,125892.2522,-0.142,94716.24464,-0.142,58613.82611
